216,212,stir fried bamboo and water chestnut,2.8,Extra Portions
217,213,stir fried mixed vegetables,3.2,Extra Portions
218,214,stir fried onions ,2.5,Extra Portions
219,215,stir fried beansprouts,2.6,Extra Portions
220,216,curry sauce (SMALL),1.5,Extra Portions
221,217,curry sauce (LARGE),2,Extra Portions
222,218,sweet and sour sauce (SMALL),1.5,Extra Portions
223,219,Sweet and Sour sauce (LARGE),2,Extra Portions
224,220,BBQ sauce (SMALL),1.5,Extra Portions
225,221,BBQ sauce (LARGE),2,Extra Portions
226,222,Black bean sauce (SMALL),1.5,Extra Portions
227,223,Black bean sauce (LARGE),2,Extra Portions
228,224,Cantonese sauce (SMALL),2,Extra Portions
229,225,Cantone Sauce (LARGE),2.5,Extra Portions
230,226,Hoi sin sauce (SMALL),2,Extra Portions
231,227,Hoi sin sauce (LARGE),2.5,Extra Portions
232,228,plum sauce (SMALL),2,Extra Portions
233,229,Plum sauce (LARGE),2.5,Extra Portions
234,230,prawn crackers,2,Extra Portions
235,231,banana fritters,2.3,Desserts
236,232,pineapple fritter,2.3,Desserts
237,R1,R1,8,Round Containers
238,R2,R2,8,Round Containers
239,R3,R3,8,Round Containers
240,R4,R4,8,Round Containers
241,R5,R5,8,Round Containers
242,R6,R6,8,Round Containers
243,R7,R7,8,Round Containers
244,R8,R8,8,Round Containers
245,R9,R9,8,Round Containers
246,R10,R10,8,Round Containers
247,R11,R11,8,Round Containers
248,R12,R12,8,Round Containers
249,R13,R13,8,Round Containers
250,R14,R14,8,Round Containers
251,R15,R15,8,Round Containers
252,R16,R16,8,Round Containers
253,R17,R17,8,Round Containers
254,R18,R18,8,Round Containers
255,Set A,two person set meal,21,Set Meals
256,set B,three person set meal,33,Set Meals
257,Set C,four person set meal,46,Set Meals
258,A1,+ FriedR(curry),1.0,Addons
259,A2,+ Chips(curry),0.8,Addons
260,A3,+ BoiledR(curry),0.8,Addons
261,A4,+ Mush(curry),0.4,Addons
262,A5,+ ThaiGrCurry(udon),1.0,Addons
263,A6,+ Hot,0,Addons
