146,115,Shrimp Chow Mein,6.5,Chow Mein
147,116,Chicken Chow Mein,6.4,Chow Mein
148,117,Beef Chow Mein,6.4,Chow Mein
149,118,Chinese Pork Chow Mein,6.4,Chow Mein
150,119,Fried Rice Vermicelli,7.0,Chow Mein
151,120,Veg. Curry,5.6,Vegetable
152,121,Mush. Curry,5.6,Vegetable
153,122,Mush. Chop Suey,5.6,Vegetable
154,123,Veg. Chow Mein,5.9,Vegetable
155,124,Mush. Chow Mein,5.9,Vegetable
156,125,Mixed Mush. + Beansprouts,5.8,Vegetable
157,126,Mixed Mush. + Bamb. + Water Chestnuts,5.8,Vegetable
158,127,Mixed Mush. + Green Pepp. + Black Bean S.,5.9,Vegetable
159,128,Mixed Mush. + Brocolli,5.9,Vegetable
160,129,Mixed Veg. + Cashew N.,5.9,Vegetable
161,130,Mixed Veg. + Szechuan S.,5.8,Vegetable
162,131,S+S Mush.(HK),5.8,Vegetable
163,132,Mixed Mush. + Bean Curd,5.8,Vegetable
164,133,Bean Curd + Green Pepp. + Black Bean S.,5.9,Vegetable
165,134,Sirloin Steak,10.5,English
166,135,Sirloin Steak + Black Pepp. S.,11.0,English
167,136,Roast Chicken,6.7,English
168,137,Sausages + Chips + Peas,6.0,English
169,138,K. Prawn Omelette,7.6,English
170,139,Shrimp Omelette,6.8,English
171,140,Chicken Omelette,6.7,English
172,141,Ham Omelette,6.7,English
173,142,Mush.Omelette,6.6,English
174,143,Plain Omelette,6.0,English
175,144a,Fried Rice(S),2.4,Extra Portions
176,144b,Fried Rice(R),2.8,Extra Portions
177,144c,Fried Rice(L),3.8,Extra Portions
178,145a,Boiled Rice(S),2.3,Extra Portions
179,145b,Boiled Rice(R),2.7,Extra Portions
180,145c,Boiled Rice(L),3.7,Extra Portions
181,146,Bamb. + Water Chestnuts,4.0,Extra Portions
182,147,Chips,2.0,Extra Portions
183,148,Beansprouts,3.4,Extra Portions
184,149,Chow Mein,3.4,Extra Portions
185,150,Mixed Veg.,3.8,Extra Portions
186,151,Mushrooms,3.4,Extra Portions
187,152,Garlic Mush.,3.7,Extra Portions
188,153,Fried Onions,3.3,Extra Portions
189,154,Fried Onion Rings,2.0,Extra Portions
190,155,Sweet + Sour S.,1.9,Extra Portions
191,156,Curry S.,1.9,Extra Portions
192,157,Gravy,1.9,Extra Portions
193,158,Banana Fritter,2.3,Extra Portions
194,159,Pineapple Fritter,2.3,Extra Portions
195,sA,Two Persons,20.0,Special Set Dinner
196,sB,Three Persons,34.0,Special Set Dinner
197,sC,Four Persons,57.0,Special Set Dinner
198,S1,Two Persons,26.0,Cantonese Set Dinner
199,S2,Three Persons,41.0,Cantonese Set Dinner
200,S3,Four Persons,60.0,Cantonese Set Dinner
201,E1,Duck Chow Mein,7.0,Special
202,E2,Duck FR,7.0,Special
203,E3,Satay S.,2.5,Special
204,E4,Shredded Chicken + Chilli,6.4,Special
205,E5,BBQ S.,2.5,Special
206,E6,Batter Chicken Breast,6.4,Special
207,E7,Chow Mein(L),4.9,Special
208,E8,Salt+Spicy Chips,2.5,Special
209,E9,Salt+Spicy Chicken,6.4,Special
210,E10,Salt+Spicy K.Prawns,6.7,Special
211,O1,+Hot,0.0,Addons
212,O2,No MSG,0.0,Addons
213,O3,No Onion,0.0,Addons


